代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
008234,光大消费主题股票,3.8,0.43,1.233,11.299,-4.194,12.56816302446983
002952,建信多因子量化股票,4.0,0.92,6.276,3.897,-2.561,12.532337289509265
011457,新华行业龙头主题股票,1.6,0.0,0.0,17.502,-6.621,12.480331632915245
001678,英大国企改革主题股票,3.2,1.12,2.548,7.859,-2.281,12.446002098993286
008167,工银消费股票C,3.6,0.385,1.156,11.679,-4.42,12.399967477283287
011025,九泰久元量化A,2.4,0.0,0.0,16.432,-6.435,12.396157824991256
011026,九泰久元量化C,2.4,0.0,0.0,16.411,-6.443,12.3679543200317
009039,九泰久远量化驱动A,4.0,0.22,1.026,12.155,-5.04,12.360602381819279
009988,信达澳银蓝筹精选股票,3.4,0.0,0.0,14.631,-5.693,12.33820192447737
010024,广发沪港深新起点股票C,3.8,0.0,0.0,14.674,-6.138,12.33636489981781
012238,工银养老产业股票C,1.6,0.0,0.0,17.393,-6.671,12.322184490888272
005662,嘉实金融精选股票A,3.6,1.027,6.336,3.638,-2.29,12.311538387396226
010391,易方达战略新兴产业股票A,2.6,0.0,0.0,16.25,-6.54,12.309846231636708
011478,工银美丽城镇股票C,2.6,0.0,0.0,16.079,-6.398,12.281265778313397
010392,易方达战略新兴产业股票C,2.6,0.0,0.0,16.226,-6.547,12.279036346271626
011463,长城量化精选股票C,2.4,0.0,0.0,16.26,-6.423,12.236971021901262
010013,易方达信息行业精选股票,3.6,0.0,0.0,14.433,-5.853,12.179468551761829
001223,鹏华文化传媒娱乐股票,3.4,0.948,6.837,3.852,-2.904,12.132615098950184
011601,前海开源公共卫生股票A,1.4,0.0,0.0,17.273,-6.654,12.018889315583934
011602,前海开源公共卫生股票C,1.4,0.0,0.0,17.267,-6.656,12.011597286152599
007388,上投摩根研究驱动A,4.0,0.258,1.066,11.505,-4.852,11.976120617272997
011125,富国文体健康股票C,2.4,0.0,0.0,16.139,-6.574,11.965868000236082
007903,长城量化小盘股票,3.8,0.215,1.046,12.015,-5.111,11.964816493668705
006926,长城量化精选股票A,4.0,0.56,2.857,8.289,-3.748,11.957264837915947
010777,浙商智选家居股票A,1.4,0.0,0.0,17.272,-6.737,11.935110976983054
010778,浙商智选家居股票C,1.4,0.0,0.0,17.269,-6.738,11.930868380634172
011470,东吴新产业精选股票C,2.2,0.0,0.0,16.1,-6.397,11.903327461240817
160144,南方新兴消费增长股票(LOF)C,3.6,0.0,0.0,14.512,-6.218,11.89447954837831
011506,建信高端装备股票A,1.4,0.0,0.0,17.195,-6.755,11.840181875349398
005663,嘉实金融精选股票C,3.6,0.995,6.336,3.427,-2.522,11.836308157582772
011507,建信高端装备股票C,1.4,0.0,0.0,17.191,-6.757,11.83434966989611
010141,朱雀企业优选A,3.4,0.0,0.0,14.578,-6.158,11.820456462303142
010709,安信医药健康股票A,2.4,0.0,0.0,15.736,-6.362,11.77389284614685
009379,中银成长优选股票,1.4,0.0,0.0,17.139,-6.773,11.765629357717593
010710,安信医药健康股票C,2.4,0.0,0.0,15.714,-6.37,11.743684940945531
